,Date,Hour,Unit_Consumption,Time,Full_Date,Day_of_Week_Num,Day_of_Week,Weekend,Holiday,AM_PM,Time_of_Day
104,5,8,100,8:00,2023-04-05,2,Wednesday,N,N,AM,Morning
105,5,9,200,9:00,2023-04-05,2,Wednesday,N,N,AM,Morning
106,5,10,200,10:00,2023-04-05,2,Wednesday,N,N,AM,Morning
107,5,11,100,11:00,2023-04-05,2,Wednesday,N,N,AM,Morning
108,5,12,150,12:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
109,5,13,100,13:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
110,5,14,100,14:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
111,5,15,150,15:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
112,5,16,200,16:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
113,5,17,100,17:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
114,5,18,250,18:00,2023-04-05,2,Wednesday,N,N,PM,Night
115,5,19,50,19:00,2023-04-05,2,Wednesday,N,N,PM,Night
116,5,20,150,20:00,2023-04-05,2,Wednesday,N,N,PM,Night
117,5,21,150,21:00,2023-04-05,2,Wednesday,N,N,PM,Night
118,5,22,50,22:00,2023-04-05,2,Wednesday,N,N,PM,Night
119,5,23,100,23:00,2023-04-05,2,Wednesday,N,N,PM,Night
120,6,0,50,0:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
121,6,1,50,1:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
122,6,2,200,2:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
123,6,3,50,3:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
124,6,4,50,4:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
125,6,5,50,5:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
126,6,6,100,6:00,2023-04-06,3,Thursday,N,Y,AM,Morning
127,6,7,100,7:00,2023-04-06,3,Thursday,N,Y,AM,Morning
128,6,8,200,8:00,2023-04-06,3,Thursday,N,Y,AM,Morning
129,6,9,200,9:00,2023-04-06,3,Thursday,N,Y,AM,Morning
130,6,10,100,10:00,2023-04-06,3,Thursday,N,Y,AM,Morning
131,6,11,200,11:00,2023-04-06,3,Thursday,N,Y,AM,Morning
132,6,12,50,12:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
133,6,13,250,13:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
134,6,14,100,14:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
135,6,15,150,15:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
136,6,16,250,16:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
137,6,17,200,17:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
138,6,18,400,18:00,2023-04-06,3,Thursday,N,Y,PM,Night
139,6,19,150,19:00,2023-04-06,3,Thursday,N,Y,PM,Night
140,6,20,300,20:00,2023-04-06,3,Thursday,N,Y,PM,Night
141,6,21,100,21:00,2023-04-06,3,Thursday,N,Y,PM,Night
142,6,22,150,22:00,2023-04-06,3,Thursday,N,Y,PM,Night
143,6,23,450,23:00,2023-04-06,3,Thursday,N,Y,PM,Night
144,7,0,50,0:00,2023-04-07,4,Friday,N,N,AM,Late_Night
145,7,1,50,1:00,2023-04-07,4,Friday,N,N,AM,Late_Night
146,7,2,50,2:00,2023-04-07,4,Friday,N,N,AM,Late_Night
147,7,3,50,3:00,2023-04-07,4,Friday,N,N,AM,Late_Night
